Gene_level,D_17_sum,D_18_sum,X_17_sum,X_18_sum,E_17_sum,E_18_sum,F_17_sum,F_18_sum,L_17_sum,L_18_sum
K22549,0.19691751107386,0.26938689375383,0.00697486800423262,0.159228120071235,1.78758290355097,1.39938108048609,0.588085269044847,1.17367448654516,0.658986208458483,0.872779552792763
K22550,0,0.109189309250386,NA,NA,0.597612959841386,0.18187479063175,0.379295631461559,0.0904148377594598,1.90652498212183,0.814045239234751
K22551,1.78714998653289,3.13614496387012,4.43388071681606,0.778232103774019,5.1444709839704,3.39049570934683,6.39397734094305,2.77662237629335,6.06713900520388,3.23219843786049
K22552,0.099525649847441,0.605129498203167,0.0789711313238967,0.537487035551016,0.752606219372742,0.54184906137409,0.336806841254613,1.30771272973835,0.0455787890380726,1.20122447614146
K22553,0.513160603702059,0.508407604348433,0.31919117248361,0.256128713537884,1.35645109011421,0.734994843154491,0.399863241236505,1.322903788943,5.17604472237407,3.30802472624434
K22579,1.76569109321439,11.6562658499622,1.86598237226136,4.19600907653292,9.05315250843437,22.3003229659209,7.92557289064863,16.2090959713537,9.29681728076329,14.6064088836288
K22585,0.0616248034004726,0.0204554341570461,NA,NA,0,0.0673590836862261,NA,NA,NA,NA
K22589,2.17955815767656,10.4526799585252,3.46496216571052,4.3273694226157,15.7002201292395,19.4204242804729,21.6085331837536,12.044894927335,26.5528196600733,28.5834644673028
K22602,0.321548270943994,2.60768007960223,1.21711057128157,0.844951019536862,6.1933073632538,7.06888607302959,8.82528720709116,6.19822625179199,11.0359117463944,9.58330035510431
K22616,0.414060759194722,2.96937966440121,0.196246429483357,0.642933765713439,3.41839724614954,2.01270508621849,0.166308664711601,1.35327702512677,5.52020474442248,1.93265907607493
K22617,8.68321636965373,5.89836647444505,6.61120968934352,6.92309384733825,10.0735760093394,6.26001848886354,5.51423982074559,7.81197326762739,9.90592599281364,18.6683109352442
K22618,0,0.0921487519307706,0.0270025187977709,0.0890281345035545,0.373773554440007,0.163500881092323,0.976026415852177,0.111559861169403,4.15230664734797,0.621693752797615
K22622,12.6944777971476,14.7428271084491,13.6704479131949,10.2923437618203,28.8981394686718,33.7844513014607,31.2475404338455,20.0855919633508,34.7830427185215,34.9466228651785
K22686,0.0188229973820601,0.160764241977961,0.135693770977742,0.0738727556815848,NA,NA,NA,NA,NA,NA
K22699,0.120871164409655,0,0.577987431452194,0,0.0741649884898361,0.117401214969017,1.50609201030642,0.234408838635636,NA,NA
K22719,5.23222132845123,7.18128400363811,7.5028009051443,5.25196962836256,14.6987351656292,12.8425741058492,6.56124548217382,11.0827960726342,11.2858051918204,7.60701202834773
K22736,21.5687844215181,60.4227192580648,39.9262641510023,29.6865407036702,82.9871140728465,122.459168706104,142.492877774438,107.49276079311,103.798721272331,225.594915067138
K22737,3.48648525700425,2.71455109033573,1.06127662415183,0.770127728130964,10.4691851138268,26.6273982252067,69.8024319833452,22.3487538782456,153.671422210648,119.460308390033
K22745,0.203950279326497,0.273685473251021,0.0926806941488939,0.370442861056356,0.559911700524918,0.842317522271365,0.277680320127654,0.827227128194671,0.00583490771567948,0.162955462742573
K22757,6.08885241782973,17.0489984697067,7.79945339914369,9.6733760882428,19.1565248713618,27.3811732822866,36.3680292376706,16.1906381004122,21.0064230650474,37.3222278098016
K22769,0,1.63247191627021,0,0.662813916339464,1.49073113609231,2.50885130991027,0.885749537647749,4.26086363325463,0.0847567921218632,4.16235832420504
